game_id,image_id,rep_num,displacement,prev_success
3,1,5,0.48671409487724304,True
3,1,6,0.0,True
3,2,2,0.6488451957702637,True
3,2,3,0.0,True
3,2,4,0.0,True
3,2,5,0.0,True
3,2,6,0.0,True
3,3,2,0.4691350758075714,True
3,3,3,0.5280437469482422,True
3,3,4,0.0,True
3,3,5,0.0,True
3,3,6,0.0,True
3,4,2,0.41284987330436707,True
3,4,3,0.5811893939971924,True
3,4,4,0.17353536188602448,True
3,4,5,0.0,True
3,4,6,0.0,True
3,5,2,0.40254178643226624,True
3,5,3,0.5738922357559204,False
3,5,4,0.3044786751270294,False
3,5,5,0.33869224786758423,True
3,5,6,0.2761121392250061,True
3,6,2,0.5230657458305359,False
3,6,3,0.5859966278076172,True
3,6,4,0.35454079508781433,True
3,6,5,0.0,True
3,6,6,0.0,True
3,7,2,0.5205684900283813,True
3,7,3,0.5085998177528381,True
3,7,4,0.0,True
3,7,5,0.0,True
3,7,6,0.0,True
3,8,2,0.5904216766357422,True
3,8,3,0.4731864035129547,False
3,8,4,0.592618465423584,True
3,8,5,0.0,True
3,8,6,0.0,True
3,9,2,0.6805516481399536,True
3,9,3,0.5914981961250305,True
3,9,4,0.0,True
3,9,5,0.0,True
3,9,6,0.0,True
3,10,2,0.32870450615882874,True
3,10,3,0.25376126170158386,True
3,10,4,0.24486717581748962,True
3,10,5,0.0,True
3,10,6,0.0,True
3,11,2,0.4970983862876892,False
3,11,3,0.44454845786094666,True
3,11,4,0.0,True
3,11,5,0.0,True
3,11,6,0.0,True
4,0,2,0.4875296950340271,True
4,0,3,0.38450318574905396,True
4,0,4,0.39083921909332275,True
4,0,5,0.3307468593120575,True
4,0,6,0.24022825062274933,True
4,1,2,0.46960893273353577,False
4,1,3,0.42776596546173096,True
4,1,4,0.3542051315307617,True
4,1,5,0.3441728353500366,True
4,1,6,0.3826853036880493,True
4,2,2,0.47251102328300476,True
4,2,3,0.67601078748703,True
4,2,4,0.0,True
4,2,5,0.0,True
4,2,6,0.6347432136535645,True
4,3,2,0.8931792378425598,True
4,3,3,0.7684634923934937,False
4,3,4,0.47821730375289917,True
4,3,5,0.5623548030853271,True
4,3,6,0.4668542444705963,True
4,4,2,0.47167980670928955,True
4,4,3,0.6923163533210754,True
4,4,4,0.22227507829666138,True
4,4,5,0.1762775182723999,True
4,4,6,0.18031072616577148,True
4,5,2,0.5419846773147583,False
4,5,3,0.6481848359107971,True
4,5,4,0.4015098810195923,True
4,5,5,0.38112351298332214,True
4,5,6,0.4786766767501831,True
4,6,2,0.5291862487792969,False
4,6,3,0.5165286660194397,False
4,6,4,0.37278449535369873,True
4,6,5,0.2566636800765991,True
4,6,6,0.2858937680721283,True
4,7,2,0.6482972502708435,False
4,7,3,0.6134446859359741,False
4,7,4,0.47635939717292786,True
4,7,5,0.32153597474098206,True
4,7,6,0.1448303461074829,True
4,8,2,0.35325419902801514,True
4,8,3,0.47123557329177856,True
4,8,4,0.3790908753871918,True
4,8,5,0.30799853801727295,True
4,8,6,0.0,True
4,9,2,0.49556171894073486,True
4,9,3,0.5651959180831909,True
4,9,4,0.4310658276081085,True
4,9,5,0.0,True
4,9,6,0.0,True
4,10,2,0.5317517518997192,False
4,10,3,0.47207823395729065,True
4,10,4,0.33018362522125244,True
4,10,5,0.0,True
4,10,6,0.37853890657424927,True
4,11,2,0.517500638961792,True
4,11,3,0.5680574178695679,True
4,11,4,0.42786839604377747,True
4,11,5,0.2877839207649231,True
4,11,6,0.3130756914615631,True
5,0,2,0.4723131060600281,True
5,0,3,0.16826774179935455,True
5,0,4,0.4867807626724243,True
5,0,5,0.32544106245040894,True
5,0,6,0.0,True
5,1,2,0.6154254674911499,False
5,1,3,0.6068851351737976,True
5,1,4,0.505922794342041,False
5,1,5,0.3250766396522522,False
5,1,6,0.42293521761894226,False
5,2,2,0.36541393399238586,True
5,2,3,0.4727717936038971,True
5,2,4,0.0,True
5,2,5,0.32175496220588684,True
5,2,6,0.32175496220588684,True
5,3,2,0.4623138904571533,True
5,3,3,0.7627771496772766,True
5,3,4,0.792395293712616,True
