game_id,image_id,rep_num,step_size
2,7,3,0.1096806600689888
2,7,4,0.13677527010440826
2,7,5,0.08020825684070587
2,7,6,0.06234213709831238
2,8,2,0.10734061151742935
2,8,3,0.06061862036585808
2,8,4,0.02904585190117359
2,8,5,0.025685841217637062
2,8,6,0.03743609040975571
2,9,2,0.2321140617132187
2,9,3,0.0369049608707428
2,9,4,0.12251736968755722
2,9,5,0.08397653698921204
2,9,6,0.06947321444749832
2,10,2,0.17684635519981384
2,10,3,0.037138357758522034
2,10,4,0.04477377608418465
2,10,5,0.10494370758533478
2,10,6,0.10476873815059662
2,11,2,0.044022638350725174
2,11,3,0.0631040707230568
2,11,4,0.033345770090818405
2,11,5,0.13092565536499023
2,11,6,0.08531959354877472
3,0,2,0.16297338902950287
3,0,3,0.09791334718465805
3,0,4,0.06577529013156891
3,0,5,0.04483911022543907
3,0,6,0.05951195955276489
3,1,2,0.20081177353858948
3,1,3,0.15104910731315613
3,1,4,0.08658630400896072
3,1,5,0.07478191703557968
3,1,6,0.04978688806295395
3,2,2,0.19138824939727783
3,2,3,0.08901912719011307
3,2,4,0.05145180970430374
3,2,5,0.03352179005742073
3,2,6,0.023573458194732666
3,3,2,0.139531672000885
3,3,3,0.12819434702396393
3,3,4,0.07409453392028809
3,3,5,0.04827393591403961
3,3,6,0.03394757956266403
3,4,2,0.1375301480293274
3,4,3,0.11879783868789673
3,4,4,0.07191412895917892
3,4,5,0.04685335233807564
3,4,6,0.03294859454035759
3,5,2,0.04376980662345886
3,5,3,0.05340095981955528
3,5,4,0.11867786198854446
3,5,5,0.07860022783279419
3,5,6,0.06438134610652924
3,6,2,0.18773578107357025
3,6,3,0.1654053032398224
3,6,4,0.09696662425994873
3,6,5,0.05805344879627228
3,6,6,0.03864973038434982
3,7,2,0.15273159742355347
3,7,3,0.1298748254776001
3,7,4,0.07506582140922546
3,7,5,0.04890675097703934
3,7,6,0.0343925915658474
3,8,2,0.060374416410923004
3,8,3,0.15921713411808014
3,8,4,0.12927594780921936
3,8,5,0.07739689201116562
3,8,6,0.05152783915400505
3,9,2,0.20179443061351776
3,9,3,0.1294575035572052
3,9,4,0.07482462376356125
3,9,5,0.04874959960579872
3,9,6,0.03428208455443382
3,10,2,0.10151128470897675
3,10,3,0.06727384775876999
3,10,4,0.053487181663513184
3,10,5,0.034847863018512726
3,10,6,0.024505987763404846
3,11,2,0.17531202733516693
3,11,3,0.1314813494682312
3,11,4,0.06547240167856216
3,11,5,0.03919801115989685
3,11,6,0.026096515357494354
4,0,2,0.1639048159122467
4,0,3,0.09033560007810593
4,0,4,0.07539141923189163
4,0,5,0.05112754553556442
4,0,6,0.039860114455223083
4,1,2,0.22591689229011536
4,1,3,0.1275656670331955
4,1,4,0.08803024142980576
4,1,5,0.07407057285308838
4,1,6,0.06540343165397644
4,2,2,0.17463639378547668
4,2,3,0.13546451926231384
4,2,4,0.07829660922288895
4,2,5,0.05101165920495987
4,2,6,0.06610879302024841
4,3,2,0.09473308175802231
4,3,3,0.14353393018245697
4,3,4,0.11412239074707031
4,3,5,0.10333165526390076
4,3,6,0.059097591787576675
4,4,2,0.1617743968963623
4,4,3,0.16262122988700867
4,4,4,0.10063480585813522
4,4,5,0.05706057325005531
4,4,6,0.042325589805841446
4,5,2,0.23205840587615967
4,5,3,0.17575666308403015
4,5,4,0.09004578739404678
4,5,5,0.06370887160301208
4,5,6,0.061251893639564514
4,6,2,0.08836369216442108
4,6,3,0.21626810729503632
4,6,4,0.11767454445362091
4,6,5,0.07159758359193802
4,6,6,0.04812846705317497
4,7,2,0.09821978956460953
4,7,3,0.20838260650634766
4,7,4,0.1455828845500946
4,7,5,0.10394228249788284
4,7,6,0.06034889444708824
4,8,2,0.11732549965381622
4,8,3,0.1116006001830101
4,8,4,0.07417374104261398
4,8,5,0.06415382772684097
4,8,6,0.04511476680636406
4,9,2,0.15584826469421387
4,9,3,0.13395977020263672
4,9,4,0.07058194279670715
4,9,5,0.04598540812730789
4,9,6,0.032338228076696396
4,10,2,0.2774008810520172
4,10,3,0.1593429446220398
4,10,4,0.08342550694942474
4,10,5,0.04994645342230797
4,10,6,0.060394179075956345
4,11,2,0.1898224949836731
4,11,3,0.1326853483915329
4,11,4,0.0779801681637764
4,11,5,0.050469573587179184
4,11,6,0.05207683518528938
5,0,2,0.15459129214286804
5,0,3,0.08197986334562302
5,0,4,0.08399252593517303
5,0,5,0.059609416872262955
5,0,6,0.041919004172086716
5,1,2,0.2635519504547119
5,1,3,0.05903782695531845
5,1,4,0.0400518961250782
5,1,5,0.03969731554389
5,1,6,0.028195755556225777
5,2,2,0.11905090510845184
5,2,3,0.11128225922584534
5,2,4,0.06431958824396133
5,2,5,0.0637768879532814
5,2,6,0.032006364315748215
5,3,2,0.15172502398490906
5,3,3,0.17086918652057648
5,3,4,0.1142253577709198
5,3,5,0.07630377262830734
5,3,6,0.06385162472724915
5,4,2,0.14370988309383392
5,4,3,0.10740675032138824
5,4,4,0.07025980949401855
5,4,5,0.04577554017305374
5,4,6,0.03219063580036163
5,5,2,0.2812536954879761
5,5,3,0.1754583865404129
5,5,4,0.024333253502845764
5,5,5,0.08618482202291489
5,5,6,0.05885022506117821
5,6,2,0.0910053700208664
5,6,3,0.063592828810215
5,6,4,0.13789337873458862
5,6,5,0.08452407270669937
5,6,6,0.08949881792068481
5,7,2,0.11455754190683365
5,7,3,0.23255625367164612
5,7,4,0.13897453248500824
5,7,5,0.09054442495107651
5,7,6,0.09122400730848312
5,8,2,0.25627022981643677
5,8,3,0.22473187744617462
5,8,4,0.10584040731191635
5,8,5,0.0685974732041359
5,8,6,0.02153012529015541
5,9,2,0.10099673271179199
5,9,3,0.15641489624977112
5,9,4,0.09422045946121216
5,9,5,0.07857654243707657
5,9,6,0.05525722727179527
5,10,2,0.16154968738555908
5,10,3,0.18209658563137054
5,10,4,0.095669224858284
5,10,5,0.076438769698143
5,10,6,0.015031639486551285
5,11,2,0.12617668509483337
5,11,3,0.038088034838438034
5,11,4,0.0964021384716034
5,11,5,0.024461019784212112
5,11,6,0.08636045455932617
6,0,2,0.20869536697864532
6,0,3,0.08559949696063995
6,0,4,0.09034302830696106
6,0,5,0.05701189488172531
6,0,6,0.07235271483659744
6,1,2,0.19479230046272278
6,1,3,0.07529256492853165
6,1,4,0.0853581428527832
6,1,5,0.05110351741313934
6,1,6,0.00952299777418375
6,2,2,0.12072104215621948
6,2,3,0.06784042716026306
6,2,4,0.04822594299912453
6,2,5,0.03142007440328598
6,2,6,0.02209547720849514
6,3,2,0.14687120914459229
6,3,3,0.04842359200119972
6,3,4,0.042661115527153015
6,3,5,0.06869702786207199
6,3,6,0.0693010687828064
6,4,2,0.1353556215763092
6,4,3,0.08545997738838196
6,4,4,0.06945198774337769
6,4,5,0.04524923488497734
6,4,6,0.031820520758628845
6,5,2,0.2199382185935974
6,5,3,0.11733634024858475
6,5,4,0.07679816335439682
6,5,5,0.07796824723482132
6,5,6,0.02312280423939228
6,6,2,0.18615971505641937
6,6,3,0.08658722043037415
6,6,4,0.09261282533407211
6,6,5,0.060338929295539856
6,6,6,0.0424320250749588
6,7,2,0.09284099191427231
6,7,3,0.04721087962388992
6,7,4,0.027287228032946587
6,7,5,0.023842457681894302
6,7,6,0.016766684129834175
6,8,2,0.05626896396279335
6,8,3,0.026172004640102386
6,8,4,0.07457269728183746
6,8,5,0.04419124126434326
6,8,6,0.03623358905315399
6,9,2,0.15133148431777954
6,9,3,0.07038779556751251
6,9,4,0.055869121104478836
6,9,5,0.036399729549884796
6,9,6,0.06676188111305237
6,10,2,0.053335368633270264
6,10,3,0.024807527661323547
6,10,4,0.014338401146233082
6,10,5,0.009341724216938019
6,10,6,0.04005717113614082
6,11,2,0.14182226359844208
6,11,3,0.06844805926084518
6,11,4,0.038074955344200134
6,11,5,0.024806523695588112
6,11,6,0.021022450178861618
7,0,2,0.17979703843593597
7,0,3,0.0968124195933342
7,0,4,0.09315472841262817
7,0,5,0.06069200113415718
7,0,6,0.04268030449748039
7,1,2,0.09776689112186432
7,1,3,0.19994188845157623
7,1,4,0.12957243621349335
7,1,5,0.0771949291229248
7,1,6,0.07772131264209747
7,2,2,0.14820216596126556
7,2,3,0.10829100757837296
7,2,4,0.08561643213033676
7,2,5,0.05578066408634186
7,2,6,0.03922652080655098
7,3,2,0.13533294200897217
7,3,3,0.05567744001746178
7,3,4,0.07765981554985046
7,3,5,0.047227371484041214
7,3,6,0.045050524175167084
7,4,2,0.18194614350795746
7,4,3,0.11150091886520386
7,4,4,0.06444597244262695
7,4,5,0.0687498152256012
7,4,6,0.05909723788499832
7,5,2,0.15805108845233917
7,5,3,0.07351323962211609
7,5,4,0.0627480000257492
7,5,5,0.03629106655716896
7,5,6,0.061596620827913284
7,6,2,0.23976261913776398
7,6,3,0.050948597490787506
7,6,4,0.06281429529190063
7,6,5,0.12867893278598785
7,6,6,0.02374967932701111
7,7,2,0.15298886597156525
7,7,3,0.1104213297367096
7,7,4,0.06382198631763458
7,7,5,0.041581179946660995
7,7,6,0.0292410496622324
7,8,2,0.17400701344013214
7,8,3,0.08093471080064774
7,8,4,0.046779125928878784
7,8,5,0.030477449297904968
7,8,6,0.02143258973956108
7,9,2,0.19122304022312164
7,9,3,0.11373429000377655
7,9,4,0.08275385200977325
7,9,5,0.053915634751319885
7,9,6,0.04604820907115936
7,10,2,0.2404688447713852
7,10,3,0.13600562512874603
7,10,4,0.020439034327864647
7,10,5,0.06372224539518356
7,10,6,0.04700145870447159
7,11,2,0.19932278990745544
7,11,3,0.10405809432268143
7,11,4,0.07509834319353104
7,11,5,0.01799577847123146
7,11,6,0.03945815935730934
8,0,2,0.11439547687768936
8,0,3,0.08687850832939148
8,0,4,0.050214558839797974
8,0,5,0.03271569311618805
8,0,6,0.062035541981458664
8,1,2,0.21260669827461243
8,1,3,0.1060696542263031
8,1,4,0.061306774616241455
8,1,5,0.08219151198863983
8,1,6,0.05779936909675598
8,2,2,0.0565904937684536
8,2,3,0.02632155455648899
8,2,4,0.015213491395115852
8,2,5,0.009911864064633846
8,2,6,0.06217975914478302
8,3,2,0.24438703060150146
8,3,3,0.130837082862854
8,3,4,0.0867687463760376
8,3,5,0.05194304138422012
8,3,6,0.06054810807108879
8,4,2,0.05522404611110687
8,4,3,0.02568598836660385
8,4,4,0.014846143312752247
8,4,5,0.009672529064118862
8,4,6,0.06178092956542969
8,5,2,0.12866324186325073
8,5,3,0.09121835231781006
8,5,4,0.05203131586313248
8,5,5,0.03389934450387955
8,5,6,0.05259287729859352
8,6,2,0.17742569744586945
8,6,3,0.08252481371164322
8,6,4,0.04769819229841232
8,6,5,0.031076237559318542
8,6,6,0.043546438217163086
8,7,2,0.22506660223007202
8,7,3,0.10468371212482452
8,7,4,0.06050572544336319
8,7,5,0.03942056745290756
8,7,6,0.05752888694405556
8,8,2,0.06264205276966095
8,8,3,0.029136277735233307
8,8,4,0.016840357333421707
8,8,5,0.053484607487916946
8,8,6,0.03761187195777893
8,9,2,0.26145413517951965
8,9,3,0.14299508929252625
8,9,4,0.08073640614748001
8,9,5,0.08047423511743546
8,9,6,0.05357661098241806
8,10,2,0.36844414472579956
8,10,3,0.22096814215183258
8,10,4,0.11786605417728424
8,10,5,0.08431711047887802
8,10,6,0.05613505095243454
8,11,2,0.22887390851974487
8,11,3,0.15023286640644073
8,11,4,0.08683249354362488
8,11,5,0.056572943925857544
8,11,6,0.057786259800195694
9,0,2,0.06833755970001221
9,0,3,0.09235534071922302
9,0,4,0.03547271713614464
9,0,5,0.023111114278435707
9,0,6,0.016252383589744568
9,1,2,0.31716224551200867
9,1,3,0.10456874221563339
9,1,4,0.05207100883126259
9,1,5,0.031174669042229652
9,1,6,0.020754879340529442
9,2,2,0.18987934291362762
9,2,3,0.08831729739904404
9,2,4,0.05104616656899452
9,2,5,0.03325749933719635
9,2,6,0.02338760532438755
9,3,2,0.08770187944173813
9,3,3,0.057456132024526596
9,3,4,0.03320883959531784
9,3,5,0.021636158227920532
9,3,6,0.015215154737234116
9,4,2,0.11906838417053223
9,4,3,0.055381473153829575
9,4,4,0.03200972080230713
9,4,5,0.020854908972978592
9,4,6,0.0146657545119524
9,5,2,0.09708333760499954
9,5,3,0.046819720417261124
9,5,4,0.02706114389002323
9,5,5,0.01763082668185234
9,5,6,0.0123984906822443
9,6,2,0.23084259033203125
9,6,3,0.21245580911636353
9,6,4,0.10579441487789154
9,6,5,0.06333861500024796
9,6,6,0.04216838255524635
9,7,2,0.19723838567733765
9,7,3,0.06502972543239594
9,7,4,0.03238217532634735
9,7,5,0.019387053325772285
9,7,6,0.012907146476209164
9,8,2,0.08551447838544846
9,8,3,0.054476115852594376
9,8,4,0.03148643299937248
9,8,5,0.020513981580734253
9,8,6,0.036126039922237396
9,9,2,0.12009783089160919
9,9,3,0.11809433251619339
9,9,4,0.06825686991214752
9,9,5,0.04447058215737343
9,9,6,0.03127296268939972
9,10,2,0.19316469132900238
9,10,3,0.08984541147947311
9,10,4,0.051929373294115067
9,10,5,0.033832941204309464
9,10,6,0.03378709778189659
9,11,2,0.2051953226327896
9,11,3,0.09544111788272858
9,11,4,0.05516362935304642
9,11,5,0.035940103232860565
9,11,6,0.025274086743593216
10,0,2,0.15709571540355682
10,0,3,0.17131976783275604
10,0,4,0.08614782989025116
10,0,5,0.056126877665519714
10,0,6,0.0706048309803009
10,1,2,0.16404464840888977
10,1,3,0.10074830800294876
10,1,4,0.0975567176938057
10,1,5,0.06355997174978256
10,1,6,0.044697146862745285
10,2,2,0.21275559067726135
10,2,3,0.13014626502990723
10,2,4,0.09582590311765671
10,2,5,0.06243231147527695
10,2,6,0.043904151767492294
10,3,2,0.265034556388855
10,3,3,0.18111947178840637
10,3,4,0.10725564509630203
10,3,5,0.07334446907043457
10,3,6,0.051577892154455185
10,4,2,0.16742944717407227
10,4,3,0.10912321507930756
10,4,4,0.08931240439414978
10,4,5,0.07993298023939133
10,4,6,0.07119348645210266
10,5,2,0.20255285501480103
10,5,3,0.11336688697338104
10,5,4,0.0946601927280426
10,5,5,0.062464941293001175
10,5,6,0.05632849410176277
10,6,2,0.17180323600769043
10,6,3,0.09134403616189957
10,6,4,0.07122548669576645
10,6,5,0.09076984971761703
10,6,6,0.06980258226394653
10,7,2,0.23833918571472168
10,7,3,0.20023244619369507
10,7,4,0.12458936870098114
10,7,5,0.08117224276065826
10,7,6,0.057082585990428925
10,8,2,0.22854945063591003
10,8,3,0.10630366206169128
10,8,4,0.0598219595849514
10,8,5,0.04323789104819298
10,8,6,0.03040608949959278
10,9,2,0.254703551530838
10,9,3,0.21100671589374542
10,9,4,0.12964487075805664
10,9,5,0.09030939638614655
10,9,6,0.06350809335708618
10,10,2,0.19555242359638214
10,10,3,0.1994631588459015
10,10,4,0.11208829283714294
10,10,5,0.07302755117416382
10,10,6,0.051355019211769104
10,11,2,0.2416277974843979
10,11,3,0.15055255591869354
10,11,4,0.10723868012428284
10,11,5,0.09797529876232147
10,11,6,0.08158749341964722
11,0,2,0.17137689888477325
11,0,3,0.11253394186496735
11,0,4,0.056037358939647675
11,0,5,0.03354929760098457
11,0,6,0.02233581803739071
11,1,2,0.09870941936969757
11,1,3,0.04591205716133118
11,1,4,0.037114668637514114
11,1,5,0.024558987468481064
11,1,6,0.015228169970214367
11,2,2,0.055015165358781815
11,2,3,0.06737781316041946
11,2,4,0.020820967853069305
11,2,5,0.05690693482756615
11,2,6,0.03264928609132767
11,3,2,0.10127803683280945
11,3,3,0.05279528722167015
11,3,4,0.10294652730226517
11,3,5,0.06707152724266052
11,3,6,0.047166574746370316
11,4,2,0.16585290431976318
11,4,3,0.09320513904094696
11,4,4,0.06039789691567421
11,4,5,0.03935032710433006
11,4,6,0.02767224609851837
11,5,2,0.1272364854812622
11,5,3,0.05182696506381035
11,5,4,0.08063316345214844
11,5,5,0.052533965557813644
11,5,6,0.036943353712558746
11,6,2,0.03549441322684288
11,6,3,0.12895309925079346
11,6,4,0.09505986422300339
